,question,answer,evidence,type,difficulty
0,Did Adam Smith send a message to Li Hua about the upcoming building maintenance schedule before the administrators announced a temporary change in the construction schedule due to weather conditions?,Yes,"['20260121_1000', '20260701_1000']",Multi,medium
1,"Did Wolfgang ask Li Hua about watching ""Star Wars: A New Hope"" after he asked Li Hua about going to see ""Overwatch 3""?",Yes,"['20260121_1300', '20261009_1700']",Multi,medium
2,Did Li Hua agree to go out for dinner after Wolfgang first asked him if he wanted to go out for dinner?,Yes,"['20260123_1700', '20260930_1600']",Multi,hard
3,Did Li Hua send a message to Jennifer thanking her for the new training schedule before he requested a change in his training schedule for Thursday?,Yes,"['20260204_1500', '20260204_1600', '20260211_1900']",Multi,hard
4,Did Li Hua ask Jennifer for advice on how to prevent muscle soreness after an intense workout session before he told her that he feels soreness in his arm muscles after the workout this week?,Yes,"['20260206_1600', '20260811_1100', '20261008_1400', '20261211_1100']",Multi,medium
5,Did Li Hua send a message to Jennifer asking for her opinion on protein supplements before he consulted her about his daily protein powder consumption?,Yes,"['20260214_1600', '20261120_2000']",Multi,easy
6,"Did Yuriko ask Li Hua for help with her studio's homepage before she booked a seat at the ""Central Perk"" cafe?",Yes,"['20260223_1500', '20260225_1500']",Multi,easy
7,Did Li Hua discuss his progress with the fitness plan before he shared a blog post about his recent fitness achievements?,Yes,"['20260305_1700', '20260325_1900', '20260610_1600', '20260630_1800', '20260708_1400', '20260817_1215', '20261022_2200', '20261202_1400']",Multi,medium
8,Did Li Hua send a message to Jennifer asking if he can turn the Thursday class to Friday after he requested a change in his training schedule for Thursday?,Yes,"['20260211_1900', '20260309_1200']",Multi,easy
9,Did Li Hua ask Yuriko to play music together before Wolfgang proposed to pause playing musical instruments?,Yes,"['20260318_1510', '20260416_2100']",Multi,medium
10,"Did Wolfgang Schulz recommend the band learns ""Viva la Vida"" by Coldplay after he and Li Hua discussed what song to play this Sunday?",Yes,"['20260318_1530', '20260625_1900']",Multi,medium
11,Did Wolfgang's promotion announcement occur before he invited Li Hua for dinner on 20260430?,Yes,"['20260428_1830', '20260930_1600']",Multi,medium
12,Did Turalyon announce the construction updates and feedback from residents after Illidan Stormrage complained about the construction noise?,Yes,"['20260526_1540', '20260527_1000', '20260528_1500']",Multi,easy
13,Did Hailey announce the new line of high-protein breads before inviting Li Hua to the special bakery event?,Yes,"['20260611_1245', '20260622_1330']",Multi,easy
14,Did Chae tell Li Hua that taking a warm shower before sleeping can improve the sleep quality before sharing the neuroscience article with her?,No,"['20260711_1100', '20260926_1030']",Multi,hard
15,Did Li Hua ask Jennifer Moore for book recommendations on fitness nutrition before she announced the special guest speaker at the gym?,No,"['20260713_1930', '20260817_1215', '20260831_1900']",Multi,hard
16,Did Jennifer remind Li Hua about proper nutrition and hydration before Jake shared his tips for staying hydrated during the match?,Yes,"['20260804_1400', '20261001_1800']",Multi,easy
17,Did the group members talk about their favorite characters in the TV series Game of Thrones after Emily started a vote on the most hateable character?,Yes,"['20260902_1600', '20260915_1200']",Multi,medium
18,Question: Did Jennifer remind Li Hua to consume enough protein after the workout before she shared tips with the group members on common mistakes to avoid after an intense workout?,Answer: Yes,"['20260919_1000', '20261101_1100']",Multi,easy
19,Did Li Hua ask Thane about his opinion on The Last of Us before he asked about Sekiro: Shadows Die Twice?,No,"['20261001_2000', '20261228_1400']",Multi,hard
20,Did Jake Watson and Li Hua discuss the classic matches between FC Barcelona and FC Bayern Munich before the group members discussed the classic matches between FC Barcelona and Real Madrid?,Yes,"['20261005_1005', '20261026_1600']",Multi,medium
21,Did the group members debate about the best football manager in the Premier League history after they debated if Pep Guardiola is the greatest soccer manager in football history?,Yes,"['20261006_1000', '20261110_1000']",Multi,easy
22,Did the discussion about Jaime Lannister's character occur after the discussion about Cersei Lannister's character?,Yes,"['20261010_1010', '20261026_2000']",Multi,medium
23,Did Wolfgang ask Li Hua if she wants to have pizza for dinner after work today before he wondered if she wanted to have Sichuan hot pot for dinner tonight?,No,"['20260930_1600', '20261015_1500']",Multi,medium
24,Did Jennifer challenge Li Hua to do 60 pull-ups in a training session after she challenged him to do 100 pushups?,Yes,"['20261104_1800', '20261129_1900']",Multi,easy
25,Did Jake share common knowledge about offside in soccer with Li Hua before he passed practical techniques to Li Hua on how to avoid offside for a forward?,Yes,"['20261105_1500', '20261130_1130']",Multi,medium
26,Did Wolfgang arrive in Hong Kong after he informed Li Hua about his upcoming trip?,Yes,"['20261219_1900', '20261223_2300']",Multi,easy
27,"What time does Li Hua watch the movie ""Overwatch 3""?",20260122,"['20260122_1700', '20260121_1300']",Multi,hard
28,"What time does Li Hua watch the movie ""Overwatch 3""?",20260122,"['20260122_1700', '20260121_1300']",Multi,hard
29,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"['20260122_1700', '20260121_1300']",Multi,easy
30,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"['20260122_1700', '20260121_1300']",Multi,easy
31,Has Wolfgang ever been to Hong Kong?,Yes,"['20261219_1900', '20261220_2000', '20261221_1200', '20261228_1000']",Multi,easy
32,Who knows about Wolfgang going to Hong Kong?,LiHua & Chae & Yuriko,"['20261219_1900', '20261220_2000', '20261221_1200', '20261228_1000']",Multi,medium
33,Who wished Li Hua a happy Lunar New Year?,Adam Smith & Jennifer Moore & Wolfgang Schulz,"['20260119_1130', '20260119_1430', '20260119_0930']",Multi,medium
34,Who introduced the bread delivery service and recommend Alice for the delivery?,HaileyJohnson,"['20260318_1500', '20260329_1300']",Multi,easy
35,What is the opportunity that makes Wolfgang and Yuriko acquaitances?,LiHua introduce them to each other by saying that they can play music together every Sunday,"['20260318_1510', '20260319_1600']",Multi,easy
36,What was the content of the first-ever delivery from Hailey to LiHua and what was LiHua's opinion about it?,a fresh sourdough loaf and a bottle of milk and LiHua praises Hailey's bread and milk,"['20260317_0800', '20260318_1500']",Multi,easy
37,What opportunity did LiHua create for Chae to meet Wolfgang and Yuriko?,LiHua introduced Chae to Wolfgang and Yuriko during the band's gathering on Sunday evening,"['20260425_2100', '20260425_2330']",Multi,easy
38,What special offerings did Hailey have for her backery shop in the month of May?,a special Mother's Day bakery promotion & a special summer promotion on ice cream & a free baking class at the end of May & banana durian cheesecake,"['20260508_0800', '20260514_1400', '20260527_1600', '20260531_2000']",Multi,medium
39,What feedbacks does Hailey ask from LiHua in July?,feedback on the bread delivery service & customer feedback on a new line of artisanal donuts,"['20260710_0830', '20260712_1600']",Multi,medium
40,How long does it take in total from LiHua planning on getting the air-conditioner to the air-conditioner been installed?,about 27 days,"['20260716_1000', '20260812_1100']",Multi,medium
41,Did it take more than 3 weeks from LiHua planning on getting the air-conditioner to the air-conditioner been actually installed?,Yes,"['20260716_1000', '20260812_1100']",Multi,medium
42,Did it take more than a week from Adam asking LiHua about the ideal installation date to Adam reminding LiHua about the contractor team installing air-conditioner at 18:00?,Yes,"['20260803_1300', '20260812_1100']",Multi,medium
43,Who does LiHua want to invite to the photo exhibition and who goes with him (during August)?,Wolfgang,"['20260801_1900', '20260805_1600']",Multi,easy
44,Is the time interval between LiHua asking JakeWatson to help him with dribbling skills and Li Hua asking the group about classic must-watch UCL matches more than 2 days (restrict your search within August)?,Yes,"['20260819_1000', '20260821_1500']",Multi,hard
45,Is the time interval more than 3 days between LiHua asking Adam to help him install a curtain on the basement window and Adam asking LiHua to measure the size of the window?,Yes,"['20260921_1600', '20260928_1000']",Multi,medium
46,Is the time interval more than 7 days between Adam asking LiHua to measure the size of the window and Adam informing Li Hua that he has booked the curtain of the right size?,Yes,"['20260928_1000', '20261007_1200']",Multi,easy
47,Is the time interval more than 3 days between LiHua confirming that he has received the curtain and Adam asking LiHua if the curtain is all good?,Yes,"['20261012_1000', '20261019_2000']",Multi,medium
48,Is the time interval more than 3 days between LiHua first asking Adam if he can buy a small fridge for the basement and Adam asking LiHua about the size of the fridge?,Yes,"['20261110_1100', '20261116_1600']",Multi,medium
49,Is the time interval more than 7 days between Adam asking LiHua about the size of the fridge and Adam informing LiHua that the fridge will be delivered at 4pm next day?,Yes,"['20261116_1600', '20261123_2300']",Multi,medium
50,Wolfgang suddenly becomes very concerned about good body shape and healthy food choices in December. What are the two conversations he had with LiHua in December that reflect this?,20261202_14:00 & 20261209_19:00,"['20261202_1400', '20261209_1900']",Multi,medium
51,Did Li Hua agree to have dinner with Wolfgang after he told Wolfgang about the lunch arrangement?,Yes,"['20260105_1100', '20260930_1600']",Multi,medium
52,Did Li Hua ask Wolfgang Schulz for a recommendation on a gym or fitness center before asking Jennifer Moore for book recommendations on fitness nutrition?,Yes,"['20260111_0800', '20260831_1900']",Multi,easy
53,Did Li Hua ask Wolfgang Schulz if he wants to go to the gym together before Jennifer reminded Li Hua to participate in the gym's membership feedback activity?,Yes,"['20260112_1000', '20260605_1100']",Multi,medium
54,Did Li Hua send a message to Wolfgang Schulz saying that he has prepared all the delicious food for tonight's Chinese Lunar New Year before Wolfgang sent a message to Li Hua wishing him a happy Lunar New Year?,Yes,"['20260113_1100', '20260118_1200', '20260119_1130', '20260119_1430', '20260119_0930']",Multi,medium
55,Did Li Hua provide feedback to Jennifer Moore on his new meal plan before he asked her for advice on a healthy meal plan?,No,"['20260115_1645', '20260122_1500']",Multi,medium
56,Did Li Hua's complaint about the customer who modifies their requirements occur before Wolfgang comforted him?,No,"['20260123_1730', '20260131_1400']",Multi,medium
57,Did Adam Smith send Li Hua a reminder about the upcoming rent due date before Li Hua sent a message about having already transferred the rent on 20260301?,Yes,"['20260127_2030', '20260227_1830', '20260301_1000', '20260330_1800', '20260331_1700', '20260429_1700', '20260429_1800']",Multi,medium
58,Did Li Hua share a blog post about his recent fitness achievements after Jennifer sent him a motivational message?,Yes,"['20260520_1800', '20260606_0900', '20260817_1215', '20261022_2200', '20261202_1400']",Multi,easy
59,Did Li Hua send a follow-up message to Jennifer before she asked him about his latest sleeping schedule?,Yes,"['20260205_1300', '20260725_1000']",Multi,medium
60,Did Li Hua ask Adam Smith about placing potted plants in the basement before he asked about decorating the basement?,No,"['20260219_2000', '20261214_1400']",Multi,medium
61,Did Li Hua ask Wolfgang for advice on renovating the basement before he invited Adam Smith to check the progress of the basement renovation?,Yes,"['20260219_2010', '20260223_1700', '20260707_1600']",Multi,hard
62,Did Li Hua tell Wolfgang about making a new friend before Yuriko reminded the group members to meet for the music festival?,Yes,"['20260302_1800', '20260318_1427', '20261212_1200']",Multi,easy
63,"Did Yuriko tell Li Hua about booking a seat at the ""Central Perk"" cafe before Li Hua sent her a message to confirm the details of their next meeting?",Yes,"['20260225_1500', '20260303_0930']",Multi,medium
64,What time does Li Hua check in with Adam about moving in?,5:30 PM,['20260105_1400'],Single,easy
65,When was the first time Li Hua had dinner with Wolfgang this year?,20260108,['20260108_1100'],Single,hard
66,Where was the first time Li Hua had dinner with Wolfgang this year?,the cozy café downtown,['20260108_1100'],Single,hard
67,What time is Li Hua's lunch with Wolfgang Schulz at the cozy café downtown?,20260108,['20260108_1100'],Single,medium
68,What is the Wi-Fi password at Li Hua's house?,Family123,['20260106_0900'],Single,easy
69,What does Adam say about having friends over?,having friends over occasionally is fine,['20260106_0900'],Single,easy
70,What house rule does Adam mention?,keep noise to a minimum during late hours,['20260106_0900'],Single,easy
71,What does Li Hua report to Adam on January 6th?,the water tab in the apartment is broken,['20260106_1300'],Single,hard
72,When does Adam confirm the plumber will arrive?,tomorrow at 10 AM,['20260106_1500'],Single,easy
73,What does Li Hua ask Adam about the door hinge?,a small repair,['20260107_1500'],Single,easy
74,What is the name of the gym that Wolfgang recommended LiHua to go to?,FitZone,['20260111_0800'],Single,easy
75,When does Li Hua ask Jennifer Moore about adjusting the protein in her meal plan?,20260122,"['20260122_1500', '20260122_1500']",Multi,easy
76,"What time does Li Hua watch the movie ""Overwatch 3""?",20260122,"['20260122_1700', '20260121_1300']",Multi,hard
77,"What time does Li Hua watch the movie ""Overwatch 3""?",20260122,"['20260122_1700', '20260121_1300']",Multi,hard
